timestamp,symbol,action,timeframe,strategy,executed
2025-07-28T02:00:02.079458,XAUUSD,sell,15MIN,algo11,yes
2025-07-28T02:00:02.126145,XAUUSD,sell,1hr,algo11,yes
2025-07-28T07:00:01.986587,XAUUSD,buy,15MIN,algo11,yes
2025-07-28T07:00:01.900150,XAUUSD,buy,1hr,algo11,yes
2025-07-28T11:00:01.458705,XAUUSD,sell,15MIN,algo11,yes
2025-07-28T11:00:02.884872,XAUUSD,sell,1hr,algo11,yes
2025-07-28T12:00:00.921949,XAUUSD,buy,15MIN,algo11,yes
2025-07-28T13:00:00.844509,XAUUSD,buy,1hr,algo11,yes
2025-07-28T14:00:01.185531,XAUUSD,sell,15MIN,algo11,yes
2025-07-28T14:00:01.545325,XAUUSD,sell,1hr,algo11,yes
