timestamp,symbol,action,timeframe,strategy,executed
2025-07-25T08:24:06.303900,GBPJPY,buy,1hr,algo15,yes
2025-07-25T08:34:36.315666,GBPJPY,buy,1hr,algo15,yes
2025-07-25T08:42:47.626610,GBPJPY,buy,1hr,algo15,yes
2025-07-25T09:47:01.565132,ETHUSD,buy,1hr,algo10,yes
2025-07-25T10:59:59.647516,EURUSD,buy,1hr,algo15,yes
2025-07-25T12:00:08.843713,EURUSD,sell,1hr,algo15,yes
2025-07-25T13:00:03.775811,EURUSD,buy,1hr,algo15,yes
2025-07-25T13:00:09.507520,ETHUSD,buy,1hr,algo10,yes
2025-07-25T15:32:14.087252,ETHUSD,sell,1hr,algo10,yes
2025-07-25T16:00:08.498838,BNBUSD,buy,1hr,algo10,yes
2025-07-25T16:05:31.112240,EURUSD,buy,1hr,algo15,yes
2025-07-25T18:00:13.089956,BNBUSD,sell,1hr,algo10,yes
2025-07-25T18:00:15.997651,ETHUSD,sell,1hr,algo10,yes
2025-07-25T19:00:09.304350,BNBUSD,buy,1hr,algo10,yes
2025-07-25T20:12:30.172215,ETHUSD,buy,1hr,algo10,yes
2025-07-25T21:00:00.847110,XAUUSD,buy,1hr,algo11,yes
2025-07-25T21:00:08.979400,BNBUSD,buy,1hr,algo10,yes
2025-07-25T22:00:03.382621,EURUSD,buy,1hr,algo15,yes
