timestamp,symbol,action,timeframe,strategy,executed,lot_size,tpsl_logic,trade_done,tpsl_done,processed_at,executed_at,ticket,execution_price
2025-07-22T00:01:10.573675+00:00,BTCUSD,buy,1hr,algo11,no,0.01,"{'mode': 'fixed_pips', 'sl_pips': 55, 'tp_pips': 105, 'trailing': {'activate_at': 50, 'lock_pips': 10}}",yes,yes,2025-07-21T21:01:13.546025+00:00,2025-07-21T21:01:16.682605+00:00,,
2025-07-22T00:27:35.676647+00:00,BTCUSD,buy,1hr,algo15,no,0.08,"{'mode': 'percentage_balance', 'sl_percent': 3.5, 'tp_percent': 2.5, 'breakeven_at': 0.5}",yes,yes,2025-07-21T21:27:44.541173+00:00,2025-07-21T21:27:48.220158+00:00,,
2025-07-22T00:27:41.099005+00:00,BTCUSD,buy,1hr,algo15,no,0.08,"{'mode': 'percentage_balance', 'sl_percent': 3.5, 'tp_percent': 2.5, 'breakeven_at': 0.5}",yes,yes,2025-07-21T21:27:44.558722+00:00,2025-07-21T21:27:48.669143+00:00,,
2025-07-22T01:45:24.421533+00:00,BTCUSD,buy,15min,algo11,no,0.01,"{'mode': 'fixed_pips', 'sl_pips': 55, 'tp_pips': 105, 'trailing': {'activate_at': 50, 'lock_pips': 10}}",yes,no,2025-07-21T22:45:28.703728+00:00,2025-07-21T22:45:32.814568+00:00,,
2025-07-22T02:00:12.825274+00:00,BTCUSD,sell,15min,algo11,yes (err:action),,,no,no,2025-07-21T23:00:20.865873+00:00,,,
2025-07-22T03:30:12.747639+00:00,BTCUSD,buy,15min,algo11,no,0.01,"{'mode': 'fixed_pips', 'sl_pips': 55, 'tp_pips': 105, 'trailing': {'activate_at': 50, 'lock_pips': 10}}",yes,no,2025-07-22T00:30:17.777891+00:00,2025-07-22T00:30:19.529330+00:00,,
2025-07-22T03:45:14.823147+00:00,BTCUSD,sell,15min,algo11,yes (err:action),,,no,no,2025-07-22T00:45:21.692248+00:00,,,
2025-07-22T04:45:04.931213+00:00,BTCUSD,buy,15min,algo11,no,0.01,"{'mode': 'fixed_pips', 'sl_pips': 55, 'tp_pips': 105, 'trailing': {'activate_at': 50, 'lock_pips': 10}}",yes,no,2025-07-22T01:45:08.425537+00:00,2025-07-22T01:45:12.934867+00:00,,
2025-07-22T05:00:13.762323+00:00,BTCUSD,buy,15min,algo11,no,0.01,"{'mode': 'fixed_pips', 'sl_pips': 55, 'tp_pips': 105, 'trailing': {'activate_at': 50, 'lock_pips': 10}}",yes,no,2025-07-22T02:00:14.407201+00:00,2025-07-22T02:00:16.698156+00:00,,
2025-07-22T05:45:04.709523+00:00,BTCUSD,sell,15min,algo11,yes (err:action),,,no,no,2025-07-22T02:45:07.490799+00:00,,,
