timestamp,symbol,action,timeframe,strategy,executed,lot_size,tpsl_mode,trade_done,tpsl_done,ticket,execution_price,executed_at,processed_at
2025-07-29T02:00:02.633467+00:00,XAUUSD,buy,1hr,algo11,yes,0.01,percentage_balance,yes,no,1582909160.0,3319.76,2025-07-29T06:23:57.464349+00:00,2025-07-28T23:00:06.330359+00:00
2025-07-29T03:00:02.510357+00:00,XAUUSD,sell,1hr,algo11,yes,0.01,percentage_balance,yes,no,1582909166.0,3319.983,2025-07-29T06:23:57.672343+00:00,2025-07-29T00:00:09.252429+00:00
2025-07-29T03:51:41.392459+00:00,GBPUSD,buy,1hr,algo15,yes,0.08,percentage_balance,yes,no,1582909168.0,1.3350000000000002,2025-07-29T06:23:57.856050+00:00,2025-07-29T00:51:49.922370+00:00
2025-07-29T04:00:00.215541+00:00,GBPUSD,buy,1hr,algo15,yes,0.07,percentage_balance,yes,no,1582909169.0,1.3350000000000002,2025-07-29T06:23:58.214879+00:00,2025-07-29T01:00:01.052908+00:00
2025-07-29T05:00:03.982056+00:00,XAUUSD,buy,1hr,algo11,yes,0.01,percentage_balance,yes,no,1582909180.0,3320.0950000000003,2025-07-29T06:23:58.403520+00:00,2025-07-29T02:00:05.361722+00:00
2025-07-29T07:00:04.239859+00:00,XAUUSD,sell,1hr,algo11,yes,0.01,percentage_balance,yes,no,1582909186.0,3319.915,2025-07-29T06:23:58.606292+00:00,2025-07-29T04:00:13.465734+00:00
2025-07-29T07:00:15.094200+00:00,BTCUSD,buy,1HR,algo11,yes,0.02,percentage_balance,yes,no,1582909195.0,119163.17,2025-07-29T06:23:58.884440+00:00,2025-07-29T04:00:22.395335+00:00
2025-07-29T07:00:15.248275+00:00,BTCUSD,buy,1hr,algo15,yes (err:symbol),,,no,no,,,,2025-07-29T04:00:22.396245+00:00
2025-07-29T08:00:02.074579+00:00,XAUUSD,buy,1hr,algo11,yes,0.01,percentage_balance,yes,no,1582909199.0,3320.027,2025-07-29T06:23:59.092542+00:00,2025-07-29T05:00:07.364796+00:00
2025-07-29T09:00:19.075050+00:00,BNBUSD,buy,1hr,algo10,yes (err:symbol),,,no,no,,,,2025-07-29T06:00:25.248532+00:00
2025-07-29T09:18:43.393594+00:00,BTCUSD,sell,1HR,algo11,yes,0.02,percentage_balance,yes,no,1582909202.0,119147.31,2025-07-29T06:23:59.347246+00:00,2025-07-29T06:18:51.736257+00:00
2025-07-29T09:18:43.398086+00:00,BTCUSD,sell,1hr,algo15,yes (err:symbol),,,no,no,,,,2025-07-29T06:18:51.737011+00:00
2025-07-29T10:00:18.423819+00:00,ETHUSD,buy,1hr,algo10,yes,2.35,percentage_balance,yes,no,1582996186.0,3834.51,2025-07-29T07:00:29.220029+00:00,2025-07-29T07:00:24.137840+00:00
2025-07-29T10:14:32.434259+00:00,BNBUSD,sell,1hr,algo10,yes (err:symbol),,,no,no,,,,2025-07-29T07:14:40.496323+00:00
2025-07-29T11:00:16.056226+00:00,ETHUSD,sell,1hr,algo10,yes,2.38,percentage_balance,yes,no,1583146126.0,3877.46,2025-07-29T08:00:28.566785+00:00,2025-07-29T08:00:27.940582+00:00
2025-07-29T11:00:17.455230+00:00,BNBUSD,sell,1hr,algo10,yes (err:symbol),,,no,no,,,,2025-07-29T08:00:27.941459+00:00
2025-07-29T12:26:37.816371+00:00,BNBUSD,buy,1hr,algo10,yes (err:symbol),,,no,no,,,,2025-07-29T09:26:45.137574+00:00
2025-07-29T13:00:15.254714+00:00,BNBUSD,buy,1hr,algo10,yes (err:symbol),,,no,no,,,,2025-07-29T10:00:21.227721+00:00
2025-07-29T14:00:12.037548+00:00,BTCUSD,sell,1HR,algo11,yes,0.02,percentage_balance,yes,no,1583569707.0,118329.69,2025-07-29T11:00:24.839947+00:00,2025-07-29T11:00:21.924267+00:00
2025-07-29T14:00:12.307646+00:00,BTCUSD,sell,1hr,algo15,yes (err:symbol),,,no,no,,,,2025-07-29T11:00:21.932134+00:00
2025-07-29T14:00:12.568733+00:00,BNBUSD,sell,1hr,algo10,yes (err:symbol),,,no,no,,,,2025-07-29T11:00:21.932838+00:00
2025-07-29T14:00:30.417373+00:00,ETHUSD,sell,1hr,algo10,yes,2.47,percentage_balance,yes,no,1583571350.0,3828.46,2025-07-29T11:00:37.895672+00:00,2025-07-29T11:00:36.726270+00:00
2025-07-29T15:00:13.741263+00:00,BTCUSD,buy,1hr,algo15,yes (err:symbol),,,no,no,,,,2025-07-29T12:00:21.732051+00:00
2025-07-29T15:00:13.985247+00:00,BTCUSD,buy,1HR,algo11,yes,0.02,percentage_balance,yes,no,1583741196.0,118627.77,2025-07-29T12:00:31.781731+00:00,2025-07-29T12:00:21.758995+00:00
2025-07-29T15:00:16.282588+00:00,BNBUSD,buy,1hr,algo10,yes (err:symbol),,,no,no,,,,2025-07-29T12:00:21.759953+00:00
2025-07-29T15:27:22.399279+00:00,ETHUSD,buy,1hr,algo10,yes,2.36,percentage_balance,yes,no,1583824608.0,3856.18,2025-07-29T12:27:32.751663+00:00,2025-07-29T12:27:30.020901+00:00
2025-07-29T16:00:10.489986+00:00,BTCUSD,sell,1hr,algo15,yes (err:symbol),,,no,no,,,,2025-07-29T13:00:13.616079+00:00
2025-07-29T16:00:10.562441+00:00,BTCUSD,sell,1HR,algo11,yes,0.02,percentage_balance,yes,no,1583922519.0,118914.52,2025-07-29T13:00:18.203188+00:00,2025-07-29T13:00:13.721918+00:00
2025-07-29T16:00:11.188328+00:00,ETHUSD,buy,1hr,algo10,yes,2.37,percentage_balance,yes,no,1583922537.0,3852.73,2025-07-29T13:00:18.822828+00:00,2025-07-29T13:00:13.794696+00:00
2025-07-29T17:00:12.134784+00:00,ETHUSD,sell,1hr,algo10,yes,2.35,percentage_balance,yes,no,1584143677.0,3836.16,2025-07-29T14:00:28.161493+00:00,2025-07-29T14:00:26.755761+00:00
2025-07-29T18:00:14.218882+00:00,BTCUSD,sell,1hr,algo15,yes (err:symbol),,,no,no,,,,2025-07-29T15:00:18.031386+00:00
2025-07-29T18:00:14.925459+00:00,BTCUSD,sell,1HR,algo11,yes,0.02,percentage_balance,yes,no,1584377009.0,117789.92,2025-07-29T15:01:03.601547+00:00,2025-07-29T15:00:18.052960+00:00
2025-07-29T18:00:16.765277+00:00,ETHUSD,buy,1hr,algo10,yes,2.45,percentage_balance,yes,no,1584377015.0,3782.44,2025-07-29T15:01:03.981591+00:00,2025-07-29T15:00:18.075974+00:00
