2025-08-08 17:21:25,007 - INFO - === TP/SL MANAGER STARTED ===
2025-08-08 17:23:46,605 - INFO - Updated algo10 BTCUSD | SL: 116362.89438 | TP: 117067.28688
2025-08-08 17:23:46,607 - INFO - Updated 1 positions
2025-08-08 18:01:04,887 - INFO - Updated algo10 BTCUSD | SL: 116878.46500 | TP: 116198.72500
2025-08-08 18:01:04,890 - INFO - Updated 1 positions
2025-08-08 21:01:07,198 - INFO - Updated algo10 BTCUSD | SL: 116354.23125 | TP: 117050.96625
2025-08-08 21:01:07,201 - INFO - Updated 1 positions
2025-08-08 22:00:50,103 - INFO - Updated algo10 BTCUSD | SL: 116934.99563 | TP: 116262.64313
2025-08-08 22:00:50,106 - INFO - Updated 1 positions
2025-08-09 03:00:57,184 - INFO - Updated algo10 BTCUSD | SL: 117108.44000 | TP: 116363.15429
2025-08-09 03:00:57,186 - INFO - Updated 1 positions
2025-08-09 08:06:34,599 - ERROR - MT5 init failed for algo10: (-6, 'Terminal: Authorization failed')
2025-08-09 08:06:34,601 - ERROR - MT5 init failed for algo11: (-6, 'Terminal: Authorization failed')
2025-08-09 08:06:34,602 - ERROR - MT5 init failed for algo15: (-6, 'Terminal: Authorization failed')
2025-08-09 08:06:54,713 - ERROR - MT5 init failed for algo10: (-6, 'Terminal: Authorization failed')
2025-08-09 08:06:54,714 - ERROR - MT5 init failed for algo11: (-6, 'Terminal: Authorization failed')
2025-08-09 08:06:54,715 - ERROR - MT5 init failed for algo15: (-6, 'Terminal: Authorization failed')
2025-08-09 08:07:14,848 - ERROR - MT5 init failed for algo10: (-6, 'Terminal: Authorization failed')
2025-08-09 08:07:14,849 - ERROR - MT5 init failed for algo11: (-6, 'Terminal: Authorization failed')
2025-08-09 08:07:14,850 - ERROR - MT5 init failed for algo15: (-6, 'Terminal: Authorization failed')
2025-08-09 08:07:34,983 - ERROR - MT5 init failed for algo10: (-6, 'Terminal: Authorization failed')
2025-08-09 08:07:34,984 - ERROR - MT5 init failed for algo11: (-6, 'Terminal: Authorization failed')
2025-08-09 08:07:34,985 - ERROR - MT5 init failed for algo15: (-6, 'Terminal: Authorization failed')
2025-08-09 08:07:55,118 - ERROR - MT5 init failed for algo10: (-6, 'Terminal: Authorization failed')
2025-08-09 08:07:55,119 - ERROR - MT5 init failed for algo11: (-6, 'Terminal: Authorization failed')
2025-08-09 08:07:55,120 - ERROR - MT5 init failed for algo15: (-6, 'Terminal: Authorization failed')
2025-08-09 08:08:15,300 - ERROR - MT5 init failed for algo10: (-6, 'Terminal: Authorization failed')
2025-08-09 08:08:15,301 - ERROR - MT5 init failed for algo11: (-6, 'Terminal: Authorization failed')
2025-08-09 08:08:15,302 - ERROR - MT5 init failed for algo15: (-6, 'Terminal: Authorization failed')
